termin_input,termin_eng,photo_norm,photo_real
увула,uvula,ar_ap.png,in_oral_cavity.png
мягкое небо,soft palate,ar_ap.png,in_oral_cavity.png
твердое небо,hard palate,ar_ap.png,in_oral_cavity.png
голосовые связки,vocal folds (cords),
